date,open,high,low,close,volume,asset_id
2007-09-17,4518.45,4549.05,4482.85,4494.65,0.0,1
2007-09-18,4494.1,4551.8,4481.55,4546.2,0.0,1
2007-09-19,4550.25,4739.0,4550.25,4732.35,0.0,1
2007-09-20,4734.85,4760.85,4721.15,4747.55,0.0,1
2007-09-21,4752.95,4855.7,4733.7,4837.55,0.0,1
2007-09-24,4837.15,4941.15,4837.15,4932.2,0.0,1
2007-09-25,4939.1,4953.9,4878.15,4938.85,0.0,1
2007-09-26,4937.6,4980.85,4930.35,4940.5,0.0,1
2007-09-27,4942.7,5016.4,4942.7,5000.55,0.0,1
2007-09-28,4996.45,5055.8,4996.45,5021.35,0.0,1
2007-10-01,5021.5,5089.3,5001.35,5068.95,0.0,1
2007-10-03,5069.0,5261.35,5034.15,5210.8,0.0,1
2007-10-04,5211.65,5233.1,5126.05,5208.65,0.0,1
2007-10-05,5208.15,5248.55,5164.5,5185.85,0.0,1
2007-10-08,5186.25,5249.3,5024.75,5085.1,0.0,1
2007-10-09,5062.65,5348.7,5000.95,5327.25,0.0,1
2007-10-10,5328.15,5454.7,5328.15,5441.45,0.0,1
2007-10-11,5438.9,5532.75,5424.25,5524.85,0.0,1
2007-10-12,5525.3,5549.3,5402.6,5428.25,0.0,1
2007-10-15,5428.35,5682.65,5419.9,5670.4,0.0,1
2007-10-16,5670.65,5708.35,5578.45,5668.05,0.0,1
2007-10-17,5658.9,5658.9,5107.3,5559.3,0.0,1
2007-10-18,5551.1,5736.8,5269.65,5351.0,0.0,1
2007-10-19,5360.35,5390.85,5101.75,5215.3,0.0,1
2007-10-22,5202.75,5247.4,5070.9,5184.0,0.0,1
2007-10-23,5185.3,5488.5,5176.85,5473.7,0.0,1
2007-10-24,5477.6,5577.9,5419.4,5496.15,0.0,1
2007-10-25,5499.05,5605.95,5469.3,5568.95,0.0,1
2007-10-26,5564.25,5716.9,5513.35,5702.3,0.0,1
2007-10-29,5708.9,5922.5,5708.9,5905.9,0.0,1
2007-10-30,5917.55,5976.0,5833.9,5868.75,0.0,1
2007-10-31,5868.9,5952.25,5861.3,5900.65,0.0,1
